State,District,Latitude,Longitude,District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,sex_ratio,literacy_rate
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,1103033,908436,498633,254456,244177,93745,47437,46308,936365,761876,174489,696274,240091,1688105,138698,248298,51809,497560,2457729,141263,11985,1026,6276,1180,168,4843,94.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,ORISSA,Dhenkanal,1192811,612593,580218,829910,464093,365817,234079,118755,115324,162056,80878,81178,435533,340552,94981,277338,158195,757278,71230,163636,17312,183355,1185542,4805,727,124,366,39,139,1069,95.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,ORISSA,Gajapati,577817,282882,294935,262537,153663,108874,39175,19037,20138,313714,151902,161812,293933,155907,138026,170371,123562,283884,65062,153199,5370,70302,353160,1556,219482,53,2180,66,4,1316,104.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1262652,947398,688235,342111,346124,118928,59172,59756,1501772,990027,511745,900744,601028,2027259,284943,565448,56274,595107,3486059,13315,23975,590,174,170,76,4672,98.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,ORISSA,Jharsuguda,579505,296690,282815,405879,228092,177787,104620,52580,52040,176758,88273,88485,247707,172018,75689,172069,75638,331798,40867,56809,15836,134195,553587,12783,10462,1441,80,70,67,1015,95.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,ORISSA,Kalahandi,1576869,787101,789768,802036,484177,317859,286580,142133,144447,449456,221171,228285,751930,447290,304640,376757,375173,824939,144991,436733,18453,151753,1555367,4975,11160,796,175,1225,220,2951,100.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,ORISSA,Kandhamal,733110,359945,373165,399786,233900,165886,115544,56987,58557,392820,190506,202314,355349,193515,161834,167112,188237,377761,79221,162932,11946,101250,580300,2138,148895,82,290,47,23,1335,104.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,ORISSA,Kendrapara,1440361,717814,722547,1089265,579970,509295,309780,155531,154249,9484,4748,4736,466890,386382,80508,322265,144625,973471,149264,143864,16544,157218,1386792,50247,1423,169,62,52,24,1592,101.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,ORISSA,Khordha,2251673,1167137,1084536,1749936,957515,792421,297472,151528,145944,115051,59094,55957,792193,645880,146313,632625,159568,1459480,92662,116274,39471,543786,2147632,84060,12527,1264,475,476,434,4805,93.0,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,ORISSA,Koraput,1379647,678809,700838,568090,340843,227247,196540,96789,99751,697583,337373,360210,693406,384053,309353,396460,296946,686241,207194,290626,14416,181170,1294151,8850,68550,518,219,491,3384,3484,103.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,ORISSA,Malkangiri,613192,303624,309568,244706,147001,97705,138295,70052,68243,354614,171717,182897,310666,170495,140171,179030,131636,302526,151260,106353,7725,45328,600219,1871,10039,213,43,195,35,577,102.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,794171,575226,184682,92127,92555,1479576,730487,749089,1223534,697782,525752,548390,675144,1296204,238772,568755,113808,302199,2113079,33706,15008,661,162,109,351714,5299,101.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,ORISSA,Nayagarh,962789,502636,460153,688362,392333,296029,136399,69813,66586,58691,29173,29518,343633,284591,59042,229076,114557,619156,83022,120129,17557,122925,955754,5278,383,107,33,24,12,1198,92.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,ORISSA,Nuapada,610382,301962,308420,299383,180903,118480,82159,40742,41417,206327,100469,105858,305438,168155,137283,151694,153744,304944,94692,149834,8641,52271,601092,4952,1778,724,76,905,22,833,102.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,ORISSA,Puri,1698730,865380,833350,1291939,704857,587082,325133,164366,160767,6129,3240,2889,621676,498461,123215,450536,171140,1077054,172761,163942,25115,259858,1644905,46094,4239,193,243,94,302,2660,96.0,76.0
